id;nhogar;zona;v2_3;v4;h2_2;hacinam_3;tipoho_2;i_estratos;i_canastas;ca_canastas;ct_canastas;i_pobreza;ca_pobreza;ct_pobreza;fexp
1829;1;1;2;3;3;1;3;2;2;303636.3225;764271.26683378;2;278891.5150;568250.875142332;481
1830;1;2;2;3;1;1;2;3;4;124924.6584;312166.31508931;3;114743.9376;263045.911052332;804
1831;1;2;1;3;1;1;1;5;5;440706.4338;811630.848553920;3;404791.1132;716497.826614604;1308
1832;1;2;2;2;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;1512
1833;1;1;2;4;1;1;2;4;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;709
1834;1;3;1;3;1;1;2;3;4;124924.6584;266362.67214574;3;114743.9376;241576.461052332;682
1835;1;1;2;3;3;1;1;5;5;407740.2045;1007389.576572670;3;374511.4630;786569.16425566560;313
1836;1;2;2;1;1;1;2;5;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;2539
1837;1;3;2;3;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;55
1838;1;1;2;2;1;1;1;4;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;445
1839;1;1;2;4;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;525
1840;1;1;2;4;1;1;2;6;5;142275.3054;340813.733642000;3;130680.5956;285220.888436136;732
1841;1;1;2;3;2;1;2;6;5;124924.6584;464736.19183678;3;114743.9376;327974.288852332;877
1842;1;2;2;5;1;1;3;5;5;315781.7754;630330.339650540;3;290047.1756;516860.228212272;438
1843;1;2;2;3;1;1;2;2;3;124924.6584;312166.31508931;2;114743.9376;263045.911052332;1314
1844;1;2;2;3;1;1;1;2;3;267199.9638;554439.89454516;2;245424.5332;458940.899844664;426
1845;1;2;2;4;1;1;2;6;5;142275.3054;340813.733642000;3;130680.5956;285220.888436136;852
1846;1;2;2;1;2;1;2;3;2;124924.6584;464736.19183678;3;114743.9376;327974.288852332;411
1847;1;2;1;3;1;1;1;5;5;267199.9638;514039.160154280;3;245424.5332;442684.710228468;158
1848;1;3;1;1;3;2;1;2;2;440706.4338;990851.052091850;2;404791.1132;794526.076230800;321
1849;1;1;2;4;1;1;2;4;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;797
1850;1;3;1;6;1;1;1;5;5;581246.6745;1053911.355886280;3;533878.0430;923289.354333132;456
1851;1;2;2;3;1;1;2;4;5;142275.3054;335410.82508931;3;130680.5956;280007.628052332;719
1852;1;1;2;3;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;429
1853;1;3;1;6;3;1;1;5;5;267199.9638;666609.036901750;3;245424.5332;507613.088028468;699
1854;1;3;2;4;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;505
1855;1;1;2;3;3;1;2;5;5;142275.3054;493383.610389470;3;130680.5956;350149.266236136;847
1856;1;2;2;2;1;1;2;2;3;124924.6584;312166.31508931;2;114743.9376;263045.911052332;470
1857;1;1;2;5;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;133
1858;1;2;1;4;1;1;1;3;4;267199.9638;508636.25160159;3;245424.5332;437471.449844664;400
1859;1;3;2;2;1;1;1;5;5;407740.2045;825811.58047051;3;374511.4630;706876.38566952960;103
1860;1;2;2;3;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;2467
1861;1;2;1;4;1;1;1;5;5;581246.6745;1070120.081544350;3;533878.0430;938929.135484544;720
1862;1;2;2;2;1;1;2;5;5;124924.6584;317569.223642000;3;114743.9376;268259.171436136;822
1863;1;2;1;4;3;1;3;4;5;444176.5632;1003973.724247400;3;407978.4448;806680.411428468;1169
1864;1;2;2;1;2;1;2;2;2;124924.6584;464736.19183678;2;114743.9376;327974.288852332;469
1865;1;2;2;3;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;1296
1866;1;1;2;2;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;522
1867;1;3;2;2;1;1;2;3;4;124924.6584;312166.31508931;3;114743.9376;263045.911052332;739
1868;1;1;2;3;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;104
1869;1;1;2;4;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;445
1870;1;3;2;4;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;47
1871;1;2;2;3;1;1;2;5;5;124924.6584;317569.223642000;3;114743.9376;268259.171436136;1688
1872;1;1;2;2;1;1;2;2;2;142275.3054;335410.82508931;2;130680.5956;280007.628052332;745
1873;1;1;2;4;1;1;1;2;3;267199.9638;554439.89454516;2;245424.5332;458940.899844664;133
1874;1;1;2;4;1;1;2;2;2;124924.6584;312166.31508931;2;114743.9376;263045.911052332;638
1875;1;2;1;5;1;1;1;5;5;267199.9638;508636.25160159;3;245424.5332;437471.449844664;1233
1876;1;1;2;2;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;349
1877;1;2;2;2;2;1;2;2;2;124924.6584;464736.19183678;2;114743.9376;327974.288852332;603
1878;1;3;2;1;2;1;2;3;3;142275.3054;487980.70183678;3;130680.5956;344936.005852332;625
1879;1;3;1;4;1;1;1;4;5;471937.5984;853702.677083520;3;433477.0976;747028.917214604;250
1880;1;2;2;4;1;1;1;2;3;267199.9638;554439.89454516;2;245424.5332;458940.899844664;2467
1881;1;1;2;3;1;1;1;2;2;267199.9638;554439.89454516;2;245424.5332;458940.899844664;479
1882;1;2;2;2;1;1;2;2;3;265464.8991;557518.352097850;2;243830.8674;462457.988528468;1583
1883;1;3;2;2;1;1;2;4;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;595
1884;1;2;2;5;3;1;2;5;5;124924.6584;464736.19183678;3;114743.9376;327974.288852332;1689
1885;1;2;2;2;1;1;2;2;2;124924.6584;312166.31508931;2;114743.9376;263045.911052332;1501
1886;1;2;2;2;1;1;2;3;4;124924.6584;312166.31508931;3;114743.9376;263045.911052332;213
1887;1;1;2;3;1;1;1;6;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;667
1888;1;1;2;3;2;1;2;5;5;124924.6584;464736.19183678;3;114743.9376;327974.288852332;797
1889;1;1;2;3;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;489
1890;1;2;2;5;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;1323
1891;1;1;2;4;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;326
1892;1;1;2;3;3;1;2;5;5;142275.3054;493383.610389470;3;130680.5956;350149.266236136;798
1893;1;1;2;4;1;1;1;3;4;588186.9333;1164119.271168580;3;540252.7062;979259.32077658560;352
1894;1;2;2;2;1;1;2;2;2;142275.3054;335410.82508931;2;130680.5956;280007.628052332;731
1895;1;2;2;3;1;1;1;5;5;392124.6222;796327.64166456;3;360168.4708;682848.84857186160;951
1896;1;3;2;2;3;1;1;2;2;267199.9638;707009.77129263;2;245424.5332;523869.277644664;696
1897;1;3;2;3;1;1;1;2;3;298431.1284;596280.01254516;2;274110.5176;489471.990444664;63
1898;1;2;2;3;3;1;2;5;5;124924.6584;464736.19183678;3;114743.9376;327974.288852332;1313
1899;1;2;2;2;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;1292
1900;1;1;1;4;1;1;3;5;5;407740.2045;761818.787664430;3;374511.4630;679057.303930800;485
1901;1;3;2;3;1;1;2;3;4;124924.6584;312166.31508931;3;114743.9376;263045.911052332;704
1902;1;2;1;3;1;1;1;4;5;392124.6222;735379.96484694;3;360168.4708;658578.498246996;1375
1903;1;3;1;4;2;1;2;5;5;124924.6584;418932.54889321;3;114743.9376;306504.838852332;1179
1903;2;3;1;4;3;1;2;2;2;124924.6584;418932.54889321;2;114743.9376;306504.838852332;1179
1904;1;3;2;3;1;1;2;2;3;124924.6584;312166.31508931;2;114743.9376;263045.911052332;529
1905;1;1;2;3;1;1;1;4;5;596862.2568;1141297.855521390;3;548221.0352;968038.51034180160;881
1906;1;2;2;3;1;1;1;2;3;267199.9638;554439.89454516;2;245424.5332;458940.899844664;1462
1907;1;3;2;4;1;1;1;3;4;267199.9638;554439.89454516;3;245424.5332;458940.899844664;799
1908;1;2;2;2;3;1;1;3;2;267199.9638;707009.77129263;3;245424.5332;523869.277644664;355
1909;1;2;2;2;1;1;1;5;5;267199.9638;554439.89454516;3;245424.5332;458940.899844664;354
1910;1;1;2;3;3;1;2;5;5;124924.6584;464736.19183678;3;114743.9376;327974.288852332;637
1911;1;1;2;6;1;1;1;5;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;392
1912;1;1;2;8;1;1;2;5;5;124924.6584;312166.31508931;3;114743.9376;263045.911052332;232
1913;1;1;2;5;1;1;2;2;3;124924.6584;312166.31508931;2;114743.9376;263045.911052332;638
1914;1;2;2;1;2;1;2;2;2;124924.6584;464736.19183678;2;114743.9376;327974.288852332;766
1915;1;1;2;4;3;1;2;3;2;124924.6584;464736.19183678;3;114743.9376;327974.288852332;745
1916;1;2;2;3;1;1;2;5;5;142275.3054;335410.82508931;3;130680.5956;280007.628052332;551
1917;1;1;2;3;1;1;1;6;5;267199.9638;559842.803097850;3;245424.5332;464154.160228468;389
1918;1;1;2;2;2;1;2;4;5;124924.6584;464736.19183678;3;114743.9376;327974.288852332;956
1919;1;2;2;2;2;1;1;2;2;265464.8991;704685.32029263;2;243830.8674;522173.105944664;905
1920;1;1;2;3;3;1;2;3;3;124924.6584;464736.19183678;3;114743.9376;327974.288852332;753
