id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;estado;categori;t_calocu;t15;t18;t19;t20_1;t21_1;t22_1;t48a_d;t48b_d;t50d_a;t50d_b;t50d_c;t50d_d;t50d_e;t50d_f;t51_d;t23_1_cod;t24_1_cod;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40a;t40b;t40_2;t41_cod_2;t47;t48;t48a;t48b;t49;t50a;t50b;t50c;t50d;t50e;t50f;t51_bis;tsd3;tsd6;tsd4;tsd7;tsd7a;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;t40bis_a;t40bis_a2;t40bis_b;t40bis_d;t40bis_f;fexp
22;2;3;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;357033;119011.0;3;1;1;0;0;0;0;0;160
22;3;1;2;27;2;1;2;1;0;0;0;0;0;1;0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;70.0;2;0;2;4803;3;2;2;2;0;1;30313;0;0;0;0;2;2;2;2;2;2;2;3;0;0;0;0;0;1;0;2;1;250000;1;250000;2;0;2;0;2;0;1;250000;1;250000;250000.0;2;1;1;1;0;0;2;0;160
23;1;1;3;20;2;1;5;1;0;0;0;0;0;1;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;48.0;2;0;2;5601;3;2;2;3;0;1;30202;0;0;0;0;2;1;1;1;1;1;2;1;0;0;0;0;0;1;0;2;1;1200000;1;1200000;2;0;2;0;2;0;1;1200000;1;1200000;1200000.0;2;2;2;1;0;0;2;0;450
24;1;1;2;20;2;1;2;2;2;2;0;0;0;0;0;2;2;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6000;2;0;2;0;1;188000;1;194000;1;194000;48500.0;2;1;1;0;0;0;0;0;339
24;1;2;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;194000;48500.0;3;1;1;0;0;0;0;0;339
24;1;3;2;15;1;4;5;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;194000;48500.0;1;1;1;0;0;0;0;0;339
24;1;4;2;12;1;4;0;2;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;194000;48500.0;1;1;1;0;0;0;0;0;339
25;1;1;2;21;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30.0;2;0;2;8200;5;2;5;1;0;1;32314;1;1;1;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;200000;1;200000;2;0;2;0;1;80000;1;280000;1;510000;170000.0;1;1;1;8;1;0;2;0;478
25;1;2;2;20;2;2;1;2;1;0;0;0;0;1;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6.0;1;1;1;5601;3;2;1;1;0;1;53113;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;100000;1;100000;2;0;2;0;1;130000;1;230000;1;510000;170000.0;1;1;1;4;0;0;1;2;478
25;1;3;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;510000;170000.0;3;1;1;0;0;0;0;0;478
